observed_at,usdinr,xauusd,xagusd,source
2026-09-19T20:40:16.721029+05:30,95.87999725341797,4424.89990234375,66.55599975585938,Yahoo Finance
2026-09-19T20:44:05.541214+05:30,95.87999725341797,4424.89990234375,66.55599975585938,Yahoo Finance
2026-09-19T20:46:05.745436+05:30,95.86299896240234,4424.89990234375,67.14900207519531,Yahoo Finance
2026-09-19T20:52:58.276293+05:30,95.86299896240234,4424.89990234375,67.14900207519531,Yahoo Finance
2026-09-19T23:37:57.849934+05:30,95.86299896240234,4424.89990234375,67.14900207519531,Yahoo Finance
2026-09-20T02:21:33.523344+05:30,95.86299896240234,4424.89990234375,67.14900207519531,Yahoo Finance
2026-09-20T04:46:59.781080+05:30,95.86299896240234,4424.89990234375,67.14900207519531,Yahoo Finance
2026-09-20T06:49:32.097632+05:30,95.86299896240234,4424.89990234375,67.14900207519531,Yahoo Finance
2026-09-20T12:00:03.376155+05:30,95.86299896240234,4424.89990234375,67.14900207519531,Yahoo Finance
2026-09-20T17:13:18.127634+05:30,95.86299896240234,4424.89990234375,67.14900207519531,Yahoo Finance
